timestamp,checkerboard_px,checkerboard_py,checkerboard_pz,checkerboard_qx,checkerboard_qy,checkerboard_qz,checkerboard_qw,torso_px,torso_py,torso_pz,torso_qx,torso_qy,torso_qz,torso_qw,l_shoulder_px,l_shoulder_py,l_shoulder_pz,l_shoulder_qx,l_shoulder_qy,l_shoulder_qz,l_shoulder_qw
1782290084.930265,913.97041,226.09682,1140.3091,-0.64180785,0.62177807,-0.31803468,0.31674698,-281.86095,-49.378134,970.88885,0.010279074,0.013929723,0.0073069296,0.99982344,-401.6628,187.72823,1305.7597,0.01563243,0.0057855541,0.0074800452,0.99983309
1782290084.940254,913.97041,226.09682,1140.3091,-0.64180785,0.62177807,-0.31803468,0.31674698,-281.86095,-49.378134,970.88885,0.010279074,0.013929723,0.0073069296,0.99982344,-401.6628,187.72823,1305.7597,0.01563243,0.0057855541,0.0074800452,0.99983309
1782290084.950277,913.97041,226.09682,1140.3091,-0.64180785,0.62177807,-0.31803468,0.31674698,-281.86095,-49.378134,970.88885,0.010279074,0.013929723,0.0073069296,0.99982344,-401.6628,187.72823,1305.7597,0.01563243,0.0057855541,0.0074800452,0.99983309
1782290084.960295,913.97041,226.09682,1140.3091,-0.64180785,0.62177807,-0.31803468,0.31674698,-281.86095,-49.378134,970.88885,0.010279074,0.013929723,0.0073069296,0.99982344,-401.6628,187.72823,1305.7597,0.01563243,0.0057855541,0.0074800452,0.99983309
1782290084.970266,913.96254,226.11086,1140.322,-0.64181363,0.62177276,-0.31803059,0.31674981,-281.88145,-49.392261,970.8752,0.010452875,0.013817816,0.0071491519,0.99982433,-401.65421,187.7072,1305.7637,0.015660776,0.0057504419,0.0076345224,0.99983168
1782290084.980243,913.96713,226.10915,1140.3148,-0.64181233,0.621781,-0.31802094,0.31674597,-281.88875,-49.40518,970.88039,0.010297848,0.013814797,0.0075100619,0.99982334,-401.66533,187.70194,1305.764,0.015809164,0.0057006385,0.0076895014,0.99982921
1782290084.990248,913.96713,226.10915,1140.3148,-0.64181233,0.621781,-0.31802094,0.31674597,-281.88875,-49.40518,970.88039,0.010297848,0.013814797,0.0075100619,0.99982334,-401.66533,187.70194,1305.764,0.015809164,0.0057006385,0.0076895014,0.99982921
1782290085.000255,913.96713,226.10915,1140.3148,-0.64181233,0.621781,-0.31802094,0.31674597,-281.88875,-49.40518,970.88039,0.010297848,0.013814797,0.0075100619,0.99982334,-401.66533,187.70194,1305.764,0.015809164,0.0057006385,0.0076895014,0.99982921
1782290085.010262,913.96713,226.10915,1140.3148,-0.64181233,0.621781,-0.31802094,0.31674597,-281.88875,-49.40518,970.88039,0.010297848,0.013814797,0.0075100619,0.99982334,-401.66533,187.70194,1305.764,0.015809164,0.0057006385,0.0076895014,0.99982921
1782290085.020236,913.96713,226.10915,1140.3148,-0.64181233,0.621781,-0.31802094,0.31674597,-281.88875,-49.40518,970.88039,0.010297848,0.013814797,0.0075100619,0.99982334,-401.66533,187.70194,1305.764,0.015809164,0.0057006385,0.0076895014,0.99982921
1782290085.030232,913.96713,226.10915,1140.3148,-0.64181233,0.621781,-0.31802094,0.31674597,-281.88875,-49.40518,970.88039,0.010297848,0.013814797,0.0075100619,0.99982334,-401.66533,187.70194,1305.764,0.015809164,0.0057006385,0.0076895014,0.99982921
1782290085.040231,913.96713,226.10915,1140.3148,-0.64181233,0.621781,-0.31802094,0.31674597,-281.88875,-49.40518,970.88039,0.010297848,0.013814797,0.0075100619,0.99982334,-401.66533,187.70194,1305.764,0.015809164,0.0057006385,0.0076895014,0.99982921
1782290085.050231,913.96713,226.10915,1140.3148,-0.64181233,0.621781,-0.31802094,0.31674597,-281.88875,-49.40518,970.88039,0.010297848,0.013814797,0.0075100619,0.99982334,-401.66533,187.70194,1305.764,0.015809164,0.0057006385,0.0076895014,0.99982921
1782290085.060240,913.96713,226.10915,1140.3148,-0.64181233,0.621781,-0.31802094,0.31674597,-281.88875,-49.40518,970.88039,0.010297848,0.013814797,0.0075100619,0.99982334,-401.66533,187.70194,1305.764,0.015809164,0.0057006385,0.0076895014,0.99982921
1782290085.070240,913.96713,226.10915,1140.3148,-0.64181233,0.621781,-0.31802094,0.31674597,-281.88875,-49.40518,970.88039,0.010297848,0.013814797,0.0075100619,0.99982334,-401.66533,187.70194,1305.764,0.015809164,0.0057006385,0.0076895014,0.99982921
1782290085.080238,913.96713,226.10915,1140.3148,-0.64181233,0.621781,-0.31802094,0.31674597,-281.88875,-49.40518,970.88039,0.010297848,0.013814797,0.0075100619,0.99982334,-401.66533,187.70194,1305.764,0.015809164,0.0057006385,0.0076895014,0.99982921
1782290085.090233,913.96713,226.10915,1140.3148,-0.64181233,0.621781,-0.31802094,0.31674597,-281.88875,-49.40518,970.88039,0.010297848,0.013814797,0.0075100619,0.99982334,-401.66533,187.70194,1305.764,0.015809164,0.0057006385,0.0076895014,0.99982921
1782290085.100232,913.95873,226.09594,1140.3229,-0.6418225,0.62177454,-0.31801676,0.31674223,-281.88458,-49.391896,970.88403,0.010379895,0.013816597,0.0070508596,0.99982581,-401.66774,187.6868,1305.7773,0.015901786,0.0056998496,0.0077326281,0.99982741
1782290085.110266,913.97274,226.12052,1140.3068,-0.64180357,0.62176717,-0.31804773,0.31676397,-281.88187,-49.360305,970.83771,0.01044162,0.013796664,0.0068827425,0.99982661,-401.66581,187.72744,1305.7591,0.016015144,0.0057696198,0.0077329643,0.9998252
1782290085.120263,913.97274,226.12052,1140.3068,-0.64180357,0.62176717,-0.31804773,0.31676397,-281.88187,-49.360305,970.83771,0.01044162,0.013796664,0.0068827425,0.99982661,-401.66581,187.72744,1305.7591,0.016015144,0.0057696198,0.0077329643,0.9998252
1782290085.130254,913.97274,226.12052,1140.3068,-0.64180357,0.62176717,-0.31804773,0.31676397,-281.88187,-49.360305,970.83771,0.01044162,0.013796664,0.0068827425,0.99982661,-401.66581,187.72744,1305.7591,0.016015144,0.0057696198,0.0077329643,0.9998252
1782290085.140247,913.97274,226.12052,1140.3068,-0.64180357,0.62176717,-0.31804773,0.31676397,-281.88187,-49.360305,970.83771,0.01044162,0.013796664,0.0068827425,0.99982661,-401.66581,187.72744,1305.7591,0.016015144,0.0057696198,0.0077329643,0.9998252
1782290085.150256,913.97274,226.12052,1140.3068,-0.64180357,0.62176717,-0.31804773,0.31676397,-281.88187,-49.360305,970.83771,0.01044162,0.013796664,0.0068827425,0.99982661,-401.66581,187.72744,1305.7591,0.016015144,0.0057696198,0.0077329643,0.9998252
1782290085.160251,913.97274,226.12052,1140.3068,-0.64180357,0.62176717,-0.31804773,0.31676397,-281.88187,-49.360305,970.83771,0.01044162,0.013796664,0.0068827425,0.99982661,-401.66581,187.72744,1305.7591,0.016015144,0.0057696198,0.0077329643,0.9998252
1782290085.170262,913.96534,226.12227,1140.3302,-0.64181475,0.62177126,-0.31802674,0.31675433,-281.85871,-49.383525,970.89374,0.0103751,0.013913341,0.0072680297,0.99982296,-401.65812,187.70064,1305.765,0.016031317,0.0055807773,0.0078239153,0.9998253
1782290085.180296,913.96463,226.11405,1140.3211,-0.64181769,0.62177473,-0.31802577,0.31674257,-281.84363,-49.357116,970.90417,0.010238359,0.013956876,0.0070421125,0.99982538,-401.66619,187.71589,1305.7691,0.016039785,0.005652336,0.0077838876,0.99982508
1782290085.190273,913.96141,226.11146,1140.3162,-0.64180501,0.62177618,-0.31803391,0.31675724,-281.87075,-49.372107,970.86996,0.010322804,0.013839039,0.0070800236,0.99982588,-401.66259,187.71008,1305.7686,0.016107862,0.0055642478,0.0078255799,0.99982415
1782290085.200259,913.96141,226.11146,1140.3162,-0.64180501,0.62177618,-0.31803391,0.31675724,-281.87075,-49.372107,970.86996,0.010322804,0.013839039,0.0070800236,0.99982588,-401.66259,187.71008,1305.7686,0.016107862,0.0055642478,0.0078255799,0.99982415
1782290085.210274,913.95903,226.11251,1140.3195,-0.64181459,0.6217776,-0.3180207,0.31674829,-281.87531,-49.376626,970.86161,0.010366387,0.013752059,0.0070621299,0.99982676,-401.66539,187.70939,1305.7711,0.016116618,0.0056060336,0.0077891845,0.99982406
1782290085.220274,913.95903,226.11251,1140.3195,-0.64181459,0.6217776,-0.3180207,0.31674829,-281.87531,-49.376626,970.86161,0.010366387,0.013752059,0.0070621299,0.99982676,-401.66539,187.70939,1305.7711,0.016116618,0.0056060336,0.0077891845,0.99982406
1782290085.230259,913.95903,226.11251,1140.3195,-0.64181459,0.6217776,-0.3180207,0.31674829,-281.87531,-49.376626,970.86161,0.010366387,0.013752059,0.0070621299,0.99982676,-401.66539,187.70939,1305.7711,0.016116618,0.0056060336,0.0077891845,0.99982406
1782290085.240252,913.95903,226.11251,1140.3195,-0.64181459,0.6217776,-0.3180207,0.31674829,-281.87531,-49.376626,970.86161,0.010366387,0.013752059,0.0070621299,0.99982676,-401.66539,187.70939,1305.7711,0.016116618,0.0056060336,0.0077891845,0.99982406
1782290085.250257,913.95903,226.11251,1140.3195,-0.64181459,0.6217776,-0.3180207,0.31674829,-281.87531,-49.376626,970.86161,0.010366387,0.013752059,0.0070621299,0.99982676,-401.66539,187.70939,1305.7711,0.016116618,0.0056060336,0.0077891845,0.99982406
1782290085.260258,913.95903,226.11251,1140.3195,-0.64181459,0.6217776,-0.3180207,0.31674829,-281.87531,-49.376626,970.86161,0.010366387,0.013752059,0.0070621299,0.99982676,-401.66539,187.70939,1305.7711,0.016116618,0.0056060336,0.0077891845,0.99982406
1782290085.270582,913.95998,226.11071,1140.3201,-0.64181947,0.621773,-0.31802821,0.31673989,-281.87531,-49.376626,970.86161,0.010366387,0.013752059,0.0070621299,0.99982676,-401.66539,187.70939,1305.7711,0.016116618,0.0056060336,0.0077891845,0.99982406
1782290085.280281,913.9688,226.09755,1140.3244,-0.64180857,0.62178147,-0.31801713,0.31675649,-281.85984,-49.363226,970.8814,0.010389709,0.013905945,0.0067386083,0.99982662,-401.66783,187.71327,1305.7657,0.01596331,0.0056083987,0.0077049123,0.99982716
1782290085.290438,913.96946,226.1187,1140.3195,-0.64179502,0.62177376,-0.31804137,0.31677474,-281.87391,-49.372137,970.86859,0.010428114,0.013849872,0.0068922555,0.99982595,-401.66929,187.74372,1305.7814,0.015787892,0.0058558802,0.0076062539,0.99982928
1782290085.300286,913.96725,226.11716,1140.3214,-0.64181279,0.62177615,-0.31802621,0.31674927,-281.86876,-49.387939,970.89046,0.010320159,0.013900475,0.0073186835,0.99982334,-401.66727,187.7635,1305.7873,0.015675913,0.0059126479,0.007498434,0.99983153
1782290085.310303,913.96791,226.11858,1140.3173,-0.64180942,0.62177451,-0.31803075,0.31675474,-281.85734,-49.352132,970.88563,0.010306293,0.013964562,0.0070496104,0.99982452,-401.67075,187.75165,1305.7938,0.015639496,0.005941876,0.0075525932,0.99983152
1782290085.320296,913.96791,226.11858,1140.3173,-0.64180942,0.62177451,-0.31803075,0.31675474,-281.85734,-49.352132,970.88563,0.010306293,0.013964562,0.0070496104,0.99982452,-401.67075,187.75165,1305.7938,0.015639496,0.005941876,0.0075525932,0.99983152
1782290085.330259,913.96791,226.11858,1140.3173,-0.64180942,0.62177451,-0.31803075,0.31675474,-281.85734,-49.352132,970.88563,0.010306293,0.013964562,0.0070496104,0.99982452,-401.67075,187.75165,1305.7938,0.015639496,0.005941876,0.0075525932,0.99983152
1782290085.340273,913.96791,226.11858,1140.3173,-0.64180942,0.62177451,-0.31803075,0.31675474,-281.85734,-49.352132,970.88563,0.010306293,0.013964562,0.0070496104,0.99982452,-401.67075,187.75165,1305.7938,0.015639496,0.005941876,0.0075525932,0.99983152
1782290085.350281,913.96791,226.11858,1140.3173,-0.64180942,0.62177451,-0.31803075,0.31675474,-281.85734,-49.352132,970.88563,0.010306293,0.013964562,0.0070496104,0.99982452,-401.67075,187.75165,1305.7938,0.015639496,0.005941876,0.0075525932,0.99983152
1782290085.360304,913.96791,226.11858,1140.3173,-0.64180942,0.62177451,-0.31803075,0.31675474,-281.85734,-49.352132,970.88563,0.010306293,0.013964562,0.0070496104,0.99982452,-401.67075,187.75165,1305.7938,0.015639496,0.005941876,0.0075525932,0.99983152
